"Mage_Bundle::As low as","ab"
"Mage_Bundle::As Low as","ab"
"Mage_Page::Welcome, %s!","Guten Tag, %s!"
"Mage_Catalog::New Products","Aktuelle Veranstaltung"
"Mage_Catalog::ProductFile description","Programm"
"Mage_Customer::Registration is free and easy!","Um sich für Veranstaltungen des BfR anmelden zu können, müssen Sie im Veranstaltungsshop registriert sein. Klicken Sie für die Registrierung auf den Button 'Kundenkonto anlegen'"
"Mage_Customer::Create an Account","Kundenkonto anlegen"
"Egovs_Base::Company","Institution/Firma"
"Egovs_Checkout::Registration is free and easy!","Um sich für Veranstaltungen des BfR anmelden zu können, müssen Sie im Veranstaltungsshop registriert sein. Klicken Sie für die Registrierung auf den Button 'Kundenkonto anlegen'"
"Egovs_Checkout::Register with us for future convenience:","Um sich für Veranstaltungen des BfR anmelden zu können, müssen Sie im Veranstaltungsshop registriert sein. Klicken Sie für die Registrierung auf den Button 'Kundenkonto anlegen'"
"Egovs_Checkout::Register","Kundenkonto anlegen"
"Event not available","Nicht bestellbar"
"Event In stock","bestellbar"
