"Mage_Catalog::Sitemap","Inhaltsverzeichnis"
"Mage_Catalog::Site Map","Inhaltsverzeichnis"
"Mage_CatalogSearch::Required Fields","Bitte mindestens einen Suchbegriff eingeben"
"Mage_Sitemap::Sitemap","Inhaltsverzeichnis"
"Mage_Sitemap::Site Map","Inhaltsverzeichnis"
"Egovs_Herausgeberbox::Sitemap","Inhaltsverzeichnis"

"Mage_Sales::Logo for PDF print-outs (200x50)","Logo for PDF print-outs"
"Mage_Checkout::You will receive an order confirmation email with details of your order and a link to track its progress.","Sie erhalten in kürze eine Bestellbestätigung per Email. Wenn Sie aktuell eingeloggt sind und einen Kunden Account in unserem Shop haben, dann klicken Sie unten auf den Link, um eine Kopie Ihrer Bestellbestätigung zu drucken."
"Mage_Checkout::Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Bestellbestätigung drucken</a>"
"Mage_Checkout::Your order # is: <a href=""%s"">%s</a>","Ihre Auftragsnummer lautet: <a href=""%s"">%s</a>"
"Mage_Newsletter::Sign up for our newsletter:","Abonnieren Sie unseren Newsletter (Abmeldung jederzeit möglich)"
"Mage_Customer::Sign Up for Newsletter","In den Newsletter eintragen (Abmeldung jederzeit möglich)"
"Mage_Catalog::Availability: In stock.","Verfügbarkeit: sofort lieferbar"
"Mage_Sales::Tax","Zzgl. MwSt."
"Mage_Checkout::Please agree to all Terms and Conditions before placing the order.","Bitte bestätigen Sie die AGB und ggf. die Widerrufsbelehrung."
"Mage_Checkout::Please agree to all Terms and Conditions before placing the orders.","Bitte bestätigen Sie die AGB und ggf. die Widerrufsbelehrung."
