"Solr Search", "Solr Suche"
"Solr Catalog Search", "Solr Katalog Suche"

"Solr - General", "Solr - Allgemein"
"Solr - Security", "Solr - Sicherheit"

"Server Connection", "Server Verbindung"
"Watch Server Connection", "Server Verbindung Kontrollieren"
"Time Frequency", "Zeit Interval"
"Server Address", "Server Adresse"
"Example: localhost", "Beispiel: localhost"
"Server Port", "Server Port"
"Example: 8983", "Beispiel: 8983"
"Core Path", "Kern Pfad"
"Example: solrDirectoryName/coreName", "Beispiel: solrVerzeichnisName/KernName"
"Max Error Count", "Maximale Fehlversuche"
"max error count until a email will get send", "Anzahl Fehlversuche bis eine Email gesendet wird"

"Search Options", "Such Optionen"
"Results per Page Allowed Values", "Artikel pro Seite (erlaubte Werte)"
"Results per Page Default Value", "Artikel pro Seite (Standardwert)"
"Maximum Query Length", "Maximallänge der Suchanfrage"
"Adjust your query length depending on your product name length", "Passen sie die Länge der Suchanfrage basierend auf ihren Produktnamen an"
"Fuzzy Search Distance", "Distanz unscharfe Suche"
"Number of different characters to match (0 to deactivate)", "Anzahl Zeichen die verschieden sein dürften (0 zum deaktivieren)"
"Field Options (Filter, Priority)", "Feld Optionen (Filter, Prioritäten)"
"Add attributes for faceting or a priority boost in search (optional)", "Attribute hinzufügen um diese zu Filtern oder in der Suche zu verstärken (Optional)"

"Sorting", "Sortierung"
"Sortable Attributes", "Sortierbare Attribute"
"Sort Direction", "Sortierrichtung"
"Add attributes to allow sorting the search results (relevant is always default)", "Attribute hinzufügen nach dehnen die Suchergebnisse sortiert werden sollen. (relevantz ist standard)"

"Spellchecker", "Rechtschreibprüfung"
"Suggestions", "Vorschläge"
"Activate for 'Do you mean' suggestions", "Aktivieren für 'Meinten Sie' Vorschläge"
"Minimal Results", "Minimale Ergebnisse"
"Suggestions will only get used if the result count is lower or equal to this option (0 for always)", "Vorschläge werden nur angezeigt, wenn weniger oder gleich viele Ergebnisse wie hier definiert gefunden werden (0 immer vorschlagen)"

"Index Options", "Indizierungs Optionen"
"Search for cms pages", "Suche nach cms Seiten"
"This option will add all your cms pages to Solr (changing this option does not require to index or delete manually)", "Diese Option fügt Cms Seiten zur Suche hinzu (Es ist kein manuelles Hinzufügen oder löschen nötig)"
"Product Type Exception", "Product-Typ ausschließen"
"Solr will not index this product types (changing this option requires a manually reindex)", "Diese Produkttypen werden nicht in der Suche aufgenommen (Benötigt ein Manuelles neu Hinzufügen)"
"Enable automatic reindexing", "Aktiviere automatisches aktualisieren"
"Enabling this cron is recommended, otherwise prices could be outdated and cause a imprecise price filtering.", "Es wird empfohlen diesen cron zu aktivieren, andernfalls könnten Preise veraltet sein, wodurch die Filterung ungenauere Ergebnisse liefert."
"Cron configuration for reindexing", "Cron Konfiguration für die Aktualisierung"

"Price Range Options (Filter)", "Preisbereich Optionen (Filter)"
"Number of default Price Ranges", "Anzahl der standard Preisbereiche"
"Number of price ranges for the automatic calculation (1-20)", "Anzahl der Preisbereiche für die automatische Berechnung (1-20)"
"Show empty Ranges", "Leere Preisbereiche Anzeigen"
"Activate to display ranges without products", "Aktivieren um Preisbereiche ohne Produkte anzuzeigen"
"Active Custom Price Range", "Benutzerdefinierten Preisbereich Aktivieren"
"Activate for custom price ranges", "Aktivieren der Benutzerdefinierten Preisbereiche"
"Custom Price Ranges", "Benutzerdefinierte Preisbereiche"
"Price Ranges from - to", "Preisebereich von - bis"

"Backend Messages", "Backend Benachrichtigungen"
"Message after save or delete". "Benachrichtigung nach speichern oder löschen"
"Activate to show success/error messages, after a product was saved or deleted.", "Aktivieren um eine Erfolgs-/Fehlermeldung nach dem speichern oder löschen eines Produktes anzuzeigen."

"Do you mean: ", "Meinten sie: "
"Search results for:","Ergebnisse ihrer Suche:"
"There are no products matching the selection.","Es wurden keine Artikel gefunden."
"Minimum of 2 characters required", "Mindestens 2 Zeichen benötigt"

"Single Select", "Einzel Auswahl"
"Choose Type", "Art Auswählen"
"Search Priority", "Such Priorität"
"Filter Results", "Ergebnisse filtern"
"Page", "Seite"

"Add to Search - Removes all old entries automatically", "Zur Suche hinzufügen - Entfernt automatisch alle alten Einträge"
"Remove from Search", "Aus der Suche Entfernen"
"Extended", "Erweitert"
"Products and Pages were added to Solr.", "Artikel und Seiten zu Solr hinzugefügt."
"Products were added to Solr.", "Artikel zu Solr hinzugefügt."
"Pages were added to Solr.", "Seiten zu Solr hinzugefügt."
"Products and Pages were removed from Solr.", "Artikel und Seiten aus Solr entfernt."
"Products were removed from Solr.", "Artikel aus Solr entfernt."
"Pages were removed from Solr.", "Seiten aus Solr entfernt."
"Unknown type, please try again.", "Unbekannte Art ausgewählt, bitte erneut versuchen."

" added or updated. ", " hinzugefügt oder aktualisiert. "
" could not be added or updated. ", "konnte nicht hinzugefügt order aktualisiert werden. "
" was removed. ", " wurde entfernt. "
" could not be removed. ", " konnte nicht entfernt werden. "
