"Show Offline Stores","zeige abgeschaltete Stores"
"Offline Options","Offline Optionen"
"Offline","Offline"
"Switch store offline?","Store offline nehmen?"
"From date","Startdatum"
"When should the store switch offline?","Wann soll der Store offline gehen?"
"Till date","Enddatum"
"Until when should the store stay offline?","Bis wann soll der Store offline bleiben?"
"CMS-Page","CMS-Seite"
"Which CMS-Page should be displayed?","Welche CMS-Seite soll angezeigt werden?"
"No","Nein"
"Yes","Ja"
"Scheduled","Geplant"
"Off Time","Abschalt-Zeitpunkt"
"On Time","Aktivierungs-Zeitpunkt"
"Duration Hours","Dauer (Stunden)"
"Duration Days","Dauer (Tage)"
"Store Offline","Shop-Offline"
