"Item does not exist","Der Eintrag existiert nicht."
"Item was successfully saved","Der Eintrag wurde erfolgreich gespeichert"
"Unable to find item to save","Es wurde kein Eintrag zum Speichern gefunden."
"Item was successfully deleted","Der Eintrag wurde gelöscht."
"Please select item(s)","Bite wählen Sie mindesten einen Eintrag aus!"
"Total of %d record(s) were successfully deleted","Es wurden %d Einträge gelöscht."
"Total of %d record(s) were successfully updated","Es wurden %d Einträge aktualisiert."
"Order Id","Order Id"
"Total Paid (Base)","Einzahlbetrag (Basis)" 
"Exported","Exportiert"
"Exported At","Exportiert am"
"Exported By","Exportiert von"
"Payment Capture Date","Zahlung efasst"
"Order Export","Zahlungsexport"
