"Virtual Geo","Virtuelles GEO-Produkt"
"Storage","Datenträger"
"Resolution","Auflösung"
"Structure","Gliederung"
"Content","Inhalt"
"Format","Format"
"CRS","CRS"
"Components Storage Manager","Kompontenten &rArr; Datenträger Verwaltung"
"Components Resolution Manager","Kompontenten &rArr; Verwaltung der Auflösungen"
"Components Structure Manager","Kompontenten &rArr; Gliederung Verwaltung"
"Components Content Manager","Kompontenten &rArr; Inhalte Verwaltung"
"Components Format Manager","Kompontenten &rArr; Format Verwaltung"
"Components Georef Manager","Kompontenten &rArr; CRS Verwaltung"
"Components Storageentity information","Komponenten Lagereinheit-Information"
"Components Resolutionentity information","Komponenten Auflösungs-Information"
"Components Structureentity information","Komponenten Struktur-Information"
"Components Formatentity information","Komponenten Format-Information"
"Components Georefentity information","Komponenten CRS-Information"
"Code","Code"
"Shortname","Kurzbezeichnung"
"Short Name","Kurzbezeichnung"
"name","Name"
"Georef","GeoRef"
"EPSG Code","EPSG Code"
"Fees","Gebühren"
"Use Georef","GeoRef benutzen"
"Usage","Verwendung"
"Is Checked","Ausgewählt"
"Is Readonly","Schreibgeschützt"
"Toogle All","Unterlayer auswählen"
"Copy selected Layer to Tree","Ausgewählte Ebene in den Baum kopieren"
"Insert","Einfügen"
"Content Settings","Einstellungen für den Inhalt"
"Use","Aktiv"
"Selected Options","gewählte Option"
